old_path,new_path,relationship,recommended_action,scientific_importance,validation_status,migration_priority
.extracted_texts/2507.12256v2.txt,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
.extracted_texts/2510.05965v1.txt,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
.extracted_texts/2512.05781v1.txt,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
.extracted_texts/2603.00558v1.txt,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
.extracted_texts/2605.28135v1.txt,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
.gitignore,.gitignore,Modified / Enhanced in NEW,KEEP NEW (Production Corrected),High (Production Corrected),Verified in NEW,LOW
01_FORENSIC_AUDIT_REPORT.md,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
ACTUAL_DISCRETE_PIPELINE.md,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
ACTUAL_PIPELINE_TRACE.md,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
AUDIT_STATUS.json,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
BLOCK_ENCODING_ARCHITECTURE.md,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
BLOCK_ENCODING_NORMALIZATION.md,N/A (Root Research Artifact),Root Milestone Report / CSV Audit / Shell Runner,ARCHIVE in research-history / Reference in thesis,High (Milestone Proofs & Phase Summaries),Phase Evidence,MEDIUM
