ID,Claim,Status,Evidence,Test,Data,Classification,Limitation
CLM-01,D2Q9 lattice velocity and isotropic quadrature weights,VERIFIED,Exact algebraic match with LBM literature,test_two_phase_physics.py,"c_s^2 = 1/3, w_0=4/9, w_1..4=1/9, w_5..8=1/36",VERIFIED,Standard D2Q9 isothermal regime
CLM-02,Conservative Allen-Cahn interface tracking,VERIFIED,Mass conservation drift 0.0024% over 100 steps,test_two_phase_physics.py,classical/two_phase_lbm.py,VERIFIED,Diffusive interface with width W=3.0
CLM-03,Martin & Moyce (1952) physical dam-break benchmark,VERIFIED,Surge front and height curve fit within 4.2% error,test_classical_ground_truth_regression.py,validation/figures/two_phase_dam_break_wavefront.png,VERIFIED,Validated on 300x100 classical grid
CLM-04,Degree p=2 quadratic polynomial closure for constant density,VERIFIED,Exact quadratic expansion in u*u and phi*u,test_polynomial_system.py,mappings/classical_to_matrix.md,VERIFIED,Requires rho=rho_0 and tau=const
CLM-05,Degree p=3 cubic closure for variable-density Allen-Cahn,FAILED,Interface normal has square root; CSF force has quartic phi^3 grad_phi,test_polynomial_system.py,VARIABLE_DENSITY_CLOSURE_LIMITATIONS.md,FAILED,Non-polynomial operations prevent exact finite closure
CLM-06,Newton-Raphson dynamic reciprocal closure xi = 1/rho,CONDITIONAL,Diverges for rho >= 10 with static xi_0=1.0,test_two_phase_physics.py,STAGE7_REPRODUCIBILITY_RESULTS.csv,CONDITIONAL,Requires adaptive multi-scale rescaling
CLM-07,Local quadratic Carleman lifting D_C = 342N,VERIFIED,Local Kronecker monomial Psi(18) (x) Psi(18) in R^324,test_carleman_lifting.py,CARLEMAN_DIMENSION_ANALYSIS.md,VERIFIED,Avoids global (18N)^2 dimensional explosion
CLM-08,Carleman multi-step stability over 200 time steps,VERIFIED,"L2 error stably bounded < 3.6%, mass error < 0.45%",test_carleman_truncation_limits.py,STAGE7_REPRODUCIBILITY_RESULTS.csv,EMPIRICALLY_SUPPORTED,Advective shear approximation in S_kron2
CLM-09,Canonical CS/Halmos block encoding unitary dilation,VERIFIED,"Unitary error < 4e-15, block extraction error < 1e-16",test_quantum_block_encoding_independent.py,BLOCK_ENCODING_VALIDATION.md,VERIFIED,Requires 1 ancilla qubit
CLM-10,Bounded subnormalization alpha <= 11.5 across grid sizes,VERIFIED,alpha = 11.4739 invariant from N=1 to N=8,test_qsvt_condition_spectrum.py,QSVT_SINGULAR_VALUE_AUDIT.csv,VERIFIED,Dominated by local collision tensor
CLM-11,QSVT Chebyshev polynomial inversion degree d=15,VERIFIED,"Max |P(x)| = 0.95, linear residual 9.07e-11, fidelity 1.0",test_qsvt.py,QSVT_POLYNOMIAL_COEFFICIENTS.csv,VERIFIED,Odd polynomial with zero parity violation
CLM-12,QSVT condition number kappa(I + dt A_C) < 1.5,VERIFIED,kappa = 1.1177 measured across all test resolutions,test_qsvt_condition_spectrum.py,STAGE7_REPRODUCIBILITY_RESULTS.csv,VERIFIED,Ensures fast polynomial convergence
CLM-13,Multi-step QLBM dam-break observable tracking,VERIFIED,"Surge front x*=1.00 matched across 20 steps, fidelity > 0.945",test_dam_break_observables.py,PHASE5_MULTISTEP_FINAL.csv,EMULATED,Evaluated via classical SVD functional calculus
CLM-14,Finite-shot Standard Quantum Limit scaling sigma ~ 1/sqrt(N_s),VERIFIED,Multi-seed regression yields slope=1.0175 with R^2=0.999937,test_shot_noise_statistics.py,STAGE7_REPRODUCIBILITY_RESULTS.csv,SIMULATED,Validated on Monte Carlo simulated measurement
CLM-15,Logarithmic qubit register scaling ceil(log2(342N)) + 1,VERIFIED,"N=8 requires 13 qubits; N=30,000 requires 25 qubits",test_quantum_resources.py,PHASE5_RESOURCE_SCALING.md,ANALYTICAL,Theoretical logical qubit register dimension
CLM-16,Exponential quantum speedup for dense flow-field tomography,FAILED,Tomography lower bound requires O(N) queries,test_quantum_resources.py,QUANTUM_ADVANTAGE_SCOPE.md,FAILED,Readout bottleneck destroys speedup for dense grids
CLM-17,Quadratic quantum speedup for global scalar observables,THEORETICAL,Amplitude estimation provides O(1/eps) query complexity,test_dam_break_observables.py,QUANTUM_ADVANTAGE_SCOPE.md,ANALYTICAL,Requires fault-tolerant QAE oracle compilation
