commit_sha,parent_sha,date,author,commit_message,scientific_significance
a42040a7b71841c13b08f9a949e0d4dd0b337eab,cf6585fe3aeb117f264b90cb3946b99ad46e6f9b,2026-09-03 17:40:15 +0200,aswanthbajith,QLBM: execute first real quantum hardware experiment,Real QPU Access & Execution
cf6585fe3aeb117f264b90cb3946b99ad46e6f9b,25dd5adaa01b46a195e6cf3ad5b6f86e5d6a011e,2026-09-03 16:44:17 +0200,aswanthbajith,QLBM: prepare and execute first real QPU experiment,Milestone commit
25dd5adaa01b46a195e6cf3ad5b6f86e5d6a011e,a012a75889455603cb5787468118a3bfe6d3bc42,2026-09-03 16:06:08 +0200,aswanthbajith,QLBM: experimentally execute two-phase dam-break timestep on quantum hardware,Real QPU Access & Execution
a012a75889455603cb5787468118a3bfe6d3bc42,a0b5af592e453e33bbc945c9365ce9c92e5b6949,2026-09-03 15:53:43 +0200,aswanthbajith,QLBM: experimentally execute two-phase dam-break timestep on quantum hardware,Real QPU Access & Execution
a0b5af592e453e33bbc945c9365ce9c92e5b6949,2ef142ac988d46104c100a3a0b9d1c28a8577a23,2026-09-03 15:32:08 +0200,aswanthbajith,QLBM: execute two-phase dam-break timestep on quantum hardware,Real QPU Access & Execution
2ef142ac988d46104c100a3a0b9d1c28a8577a23,cc3eef3b6893c917df6063ac38ace4eb8fa58bee,2026-09-03 15:15:01 +0200,aswanthbajith,QLBM: real quantum hardware two-phase dam-break demonstrator,Real QPU Access & Execution
cc3eef3b6893c917df6063ac38ace4eb8fa58bee,8797c3293806fdf9f1ad60f5f82783b5eb4c7704,2026-09-03 14:44:27 +0200,aswanthbajith,QLBM: resource-reduced reversible architecture,Milestone commit
8797c3293806fdf9f1ad60f5f82783b5eb4c7704,f90e503eaad28cd830a3f89786930435cc3cd2da,2026-09-03 14:15:32 +0200,aswanthbajith,QLBM: scaling and resource validation,Milestone commit
f90e503eaad28cd830a3f89786930435cc3cd2da,437020a9b199250223be2f4edab9af7c738e8242,2026-09-03 13:53:17 +0200,aswanthbajith,QLBM: Scalable small-lattice gate-level QLBM validation,Milestone commit
437020a9b199250223be2f4edab9af7c738e8242,8c3576f187e37d4335c322fc7ac3252cd294cb9b,2026-09-03 13:32:49 +0200,aswanthbajith,QLBM: Independently validate 2x2 gate-level QLBM,Milestone commit
8c3576f187e37d4335c322fc7ac3252cd294cb9b,492ab1c7de5ab39d46b113b87b6bcf5359535aee,2026-09-03 01:52:38 +0200,aswanthbajith,QLBM: Gate-level local BGK CSF validation,Milestone commit
492ab1c7de5ab39d46b113b87b6bcf5359535aee,307bd01a462f63dac19eca39b52e14ae1e8a4cef,2026-09-03 01:29:05 +0200,aswanthbajith,QLBM: Optimize open-system two-phase resource model,Milestone commit
