Claim_ID,Claim,Status,Evidence,Experiment,Source_File,Classification,Limitations
C6-01,Classical D2Q9 Navier-Stokes + Conservative Allen-Cahn dam break,VERIFIED,Experimental match with Martin & Moyce (1952),Stage 6.2 benchmark on 300x100 grid,classical/two_phase_lbm.py,VERIFIED,Classical ground truth reference
C6-02,Constant-density quadratic surrogate model (p=2),VERIFIED,Exact quadratic algebraic decomposition in u*u and phi*u,Stage 6.2 & 6.8 comparisons,classical/matrix_two_phase_lbm.py,VERIFIED,Restricted to rho approx rho_0
C6-03,Exact cubic closure (p=3) for variable-density 1000:1 water-air LBM,DISPROVEN,Interface normal has square root; CSF force has quartic phi^3 grad_phi,Stage 6.12 failure boundary tests,VARIABLE_DENSITY_CLOSURE_LIMITATIONS.md,DISPROVEN,Non-polynomial operations prevent exact closure
C6-04,Static Newton-Raphson reciprocal density lifting xi=1/rho,DISPROVEN,Diverges to 4.3e7 at rho=10 and 9.9e23 at rho=1000,Stage 6.12 stress testing,STAGE7_REPRODUCIBILITY_RESULTS.csv,DISPROVEN,Requires adaptive multi-scale rescaling
C6-05,Local quadratic Carleman lifting dimension D_C = 342N,VERIFIED,Local Kronecker monomial in R^324 at each node,Stage 6.6 scaling study,quantum/carleman_lbm.py,VERIFIED,Avoids global (18N)^2 dimensional explosion
C6-06,Carleman multi-step error remains stably bounded over 200 steps,VERIFIED,"L2 error saturates at ~1.05%, mass error < 0.45%",Stage 6.3 time tracking,PHASE6_CARLEMAN_TIME_ERROR.csv,EMPIRICALLY_DEMONSTRATED,Advective shear approximation in S_kron2
C6-07,Canonical CS/Halmos unitary block encoding dilation,VERIFIED,"Unitary error < 4e-15, block error < 1e-16",Stage 6.1 baseline & Phase 5 audit,quantum/block_encoding.py,VERIFIED,Requires 1 ancilla qubit
C6-08,Subnormalization alpha = 11.4739 is grid-invariant,VERIFIED,alpha = 11.4739 measured invariant from N=1 to N=30000,Stage 6.5 & 6.6 analyses,PHASE6_CONDITION_NUMBER_SWEEP.csv,VERIFIED,Dominated by local collision tensor
C6-09,QSVT odd Chebyshev polynomial matrix inversion,VERIFIED,"Parity error = 0, max |P| = 0.95, residual 5.03e-11 at d=15",Stage 6.4 degree sweep,PHASE6_QSVT_DEGREE_SWEEP.csv,VERIFIED,Requires kappa < 1.5 for fast convergence
C6-10,System condition number kappa(I + dt A_C) < 1.5,VERIFIED,kappa = 1.1168 at dt=0.01; stability boundary at dt ~ 0.035,Stage 6.5 condition sweep,PHASE6_CONDITION_NUMBER_SWEEP.csv,VERIFIED,Degrades to kappa=3.02 at dt=0.10
C6-11,Multi-step QLBM dam-break observable tracking,VERIFIED,"Surge front x*=1.00 matched across 20 steps, fidelity > 0.945",Stage 6.8 performance benchmark,PHASE6_MULTISTEP_FINAL.csv,HYBRID_EMULATION,Evaluated via classical SVD functional calculus
C6-12,Classical emulation overhead of hybrid QSVT solver,VERIFIED,SVD emulation incurs 448.8x runtime overhead vs direct LBM,Stage 6.8 wall-clock benchmarking,PHASE6_CLASSICAL_VS_QUANTUM_EMULATION.csv,MEASURED,"Emulation tool, not a classical speedup"
C6-13,Finite-shot Standard Quantum Limit scaling sigma ~ 1/sqrt(N_s),VERIFIED,"30-seed Monte Carlo regression yields slope=0.9701, R^2=0.99992",Stage 6.10 error budget,PHASE6_ERROR_BUDGET.csv,QUANTUM_STATEVECTOR_SIMULATION,Validated on simulated measurement
C6-14,Logarithmic logical qubit scaling n_tot = ceil(log2(342N)) + 1,VERIFIED,"N=8 requires 13 qubits; N=30,000 requires 25 qubits",Stage 6.6 & 6.7 resource analyses,PHASE6_GRID_SCALING.csv,ANALYTICAL,Theoretical logical qubit register dimension
C6-15,Circuit depth scales strictly linearly Depth = 2d,VERIFIED,Qiskit circuit synthesis confirms depth=2d and d phase rotations,Stage 6.7 circuit compilation,PHASE6_CIRCUIT_RESOURCES.csv,MEASURED,Synthesized for compilation metrics
C6-16,Exponential quantum speedup for full-field CFD tomography,DISPROVEN,Tomography lower bounds require Omega(N log N / eps^2) queries,Stage 6.9 complexity analysis,QUANTUM_ADVANTAGE_SCOPE.md,DISPROVEN,Readout bottleneck eliminates dense speedup
C6-17,Quadratic quantum speedup for global scalar observables,THEORETICAL,Quantum Amplitude Estimation achieves O(1/eps) vs classical O(1/eps^2),Stage 6.9 observable analysis,PHASE6_OBSERVABLE_ADVANTAGE_ANALYSIS.md,THEORETICAL,Requires fault-tolerant QAE oracle execution
C6-18,Quantum noise robustness up to lambda ~ 0.05,VERIFIED,"Fidelity remains > 0.949, mass error < 2.65% up to lambda=0.05",Stage 6.11 noise simulation,PHASE6_NOISE_ROBUSTNESS.csv,QUANTUM_STATEVECTOR_SIMULATION,Decoherence degrades null-space isolation at lambda >= 0.10
C6-19,Execution on physical quantum hardware backends,NOT_DEMONSTRATED,All dynamical quantum simulations executed via classical emulation,Stage 6.8 & 6.11 implementations,QUANTUM_EXECUTION_STATUS.md,NOT_DEMONSTRATED,Requires physical fault-tolerant QPU access
