Claim_ID,Category,Claim_Description,Theoretical_Status,Empirical_Status,Classification,Forensic_Finding
CLM-001,Classical_Physics,D2Q9 discrete velocity lattice and isotropic quadrature weights (cs^2=1/3),PASS,PASS,PASS,Standard D2Q9 lattice c_i and weights w_i are exactly implemented and verified.
CLM-002,Classical_Physics,Conservative Allen-Cahn phase-field interface tracking,PASS,PASS,PASS,Allen-Cahn equation with source term and counter-gradient flux maintains interface width and mass drift < 0.05% over 100 steps.
CLM-003,Classical_Physics,CSF surface tension force formulation (mu_phi * grad_phi),PASS,PASS,PASS,Chemical potential and gradient-based CSF force correctly implement Laplace law in the classical reference.
CLM-004,Classical_Physics,Martin & Moyce (1952) physical dam-break validation on 300x100 grid,PASS,PASS,PASS,Dimensionless surge front x* and column height h* fit experimental curves within 4.2% error.
CLM-005,Polynomial_Closure,Exact degree p=2 quadratic polynomial closure for constant-density Navier-Stokes LBM,PASS,PASS,PASS,Exact quadratic expansion in u*u and phi*u holds when rho=rho_0 and tau are constants.
CLM-006,Polynomial_Closure,Exact degree p=3 cubic polynomial closure for variable-density two-phase LBM,FAIL,FAIL,FAIL,Counter-gradient unit normal n = grad_phi / |grad_phi| and CSF chemical potential involve non-polynomial square roots and reciprocals.
CLM-007,Reciprocal_Density,Newton-Raphson dynamic reciprocal density closure xi = 1/rho via xi_{k+1} = xi_k(2 - rho*xi_k),NEEDS CORRECTION,FAIL,NEEDS CORRECTION,Newton-Raphson iteration diverges exponentially for density ratios >= 10 when initialized with static xi_0=1.0.
CLM-008,Carleman_Lifting,Local quadratic Carleman state lifting D_C = 18N + 324N = 342N,PASS,PASS,PASS,Local node-wise Kronecker product Psi (x) Psi in R^324 preserves 342N dimensionality without global (18N)^2 explosion.
CLM-009,Carleman_Lifting,Exact quadratic streaming operator S_kron2 preservation,PARTIALLY VERIFIED,PARTIALLY VERIFIED,PARTIALLY VERIFIED,"Local streaming shifts quadratic pair (q1, q2) using primary direction c_q1; this introduces a small advective shear truncation."
CLM-010,Carleman_Lifting,Carleman invariant manifold preservation ||Y_2^(quad) - Y_2^(lin) (x) Y_2^(lin)||,PASS,PASS,PASS,Invariant manifold defect remains stably bounded at ~0.10-0.13 across 200 time steps without runaway instability.
CLM-011,Block_Encoding,Canonical CS/Halmos unitary dilation U_A (2d x 2d) with <0|U_A|0> = A_C / alpha,PASS,PASS,PASS,Unitary error ||U^dag U - I|| < 4e-15 and block extraction error < 1e-16 across all tested grids.
CLM-012,Block_Encoding,Subnormalization constant alpha <= 11.5 remains bounded as grid scales,PASS,PASS,PASS,alpha = 11.4739 is invariant from N=1 to N=8 nodes due to local collision norm dominance.
CLM-013,QSVT,"Chebyshev polynomial matrix inversion of degree d=15 strictly bounded by |P(x)| <= 0.95 on [-1, 1]",PASS,PASS,PASS,Max polynomial value is exactly 0.950000; parity violation is identically 0.0.
CLM-014,QSVT,Actual quantum circuit execution for multi-step dynamical simulation,FAIL,PARTIALLY VERIFIED,PARTIALLY VERIFIED,"Qiskit QuantumCircuit is synthesized for circuit/gate depth verification, but numerical time evolution evaluates via SVD functional calculus."
CLM-015,MultiStep_Propagation,Multi-step QLBM state propagation matches Classical and Carleman trajectories,PASS,PASS,PASS,Quantum state fidelity remains > 0.9455 and surge front x* matches exactly over 20 steps.
CLM-016,Observable_Extraction,"Macroscopic observables (x*, h*, mass, pressure) accurately extractable from physical subspace",PASS,PASS,PASS,"Subspace projection Y_2 -> Psi -> (rho, phi, u, p) accurately recovers macroscopic physics."
CLM-017,Shot_Noise,Finite-shot measurement noise follows Standard Quantum Limit scaling sigma ~ 1/sqrt(N_s),PASS,PASS,PASS,"Empirical multi-seed regression across N_s in [10^2, 10^6] yields slope = 1.0175 with R^2 = 0.999937."
CLM-018,Quantum_Advantage,Exponential or polynomial end-to-end computational speedup for dense flow-field reconstruction,FAIL,FAIL,FAIL,"Full statevector tomography requires O(N) measurements, nullifying quantum speedup for dense flow fields. Speedup is limited to global scalar observables."
